gene1,gene2,correlation,module1,module2,adj_pvalue
bact_ASV_1,bact_ASV_5,0.025963991056327344,turquoise,turquoise,2.852770090956377e-4
bact_ASV_1,bact_ASV_3,0.02377796167278909,turquoise,turquoise,3.0370241818155495e-11
bact_ASV_1,bact_ASV_10,0.29988702718911336,turquoise,turquoise,3.1914227600183165e-58
bact_ASV_1,bact_ASV_8,0.2884271019378332,turquoise,turquoise,5.371604006021321e-64
bact_ASV_1,bact_ASV_36,0.011091159254839432,turquoise,grey,2.917832359659654e-9
bact_ASV_1,bact_ASV_11,0.0925238342361072,turquoise,turquoise,8.641277684262697e-27
bact_ASV_1,bact_ASV_17,0.1805893401552127,turquoise,turquoise,2.522319495698995e-35
bact_ASV_1,bact_ASV_9,0.13760617491702556,turquoise,turquoise,7.201178858300747e-31
bact_ASV_1,bact_ASV_13,0.012861407628813144,turquoise,turquoise,4.01656131236998e-6
bact_ASV_1,bact_ASV_24,0.049831870563842424,turquoise,turquoise,1.4363826722119745e-16
bact_ASV_1,bact_ASV_21,0.08599637461049162,turquoise,turquoise,1.3863137241627702e-24
bact_ASV_1,bact_ASV_22,0.016259740381951278,turquoise,turquoise,1.4896227335625943e-7
bact_ASV_1,bact_ASV_50,0.009385161115776542,turquoise,turquoise,5.204127765489442e-4
bact_ASV_1,bact_ASV_78,0.08436621827254114,turquoise,turquoise,6.282563644146106e-14
bact_ASV_1,bact_ASV_80,0.008960767083296288,turquoise,grey,6.070612526611531e-5
bact_ASV_1,bact_ASV_26,0.007390826752097392,turquoise,grey,7.730566216158357e-5
bact_ASV_1,bact_ASV_47,0.01458900338742098,turquoise,turquoise,2.242851496005467e-8
bact_ASV_1,bact_ASV_38,0.2456270718353183,turquoise,turquoise,1.1977965720773642e-47
bact_ASV_1,bact_ASV_58,0.1905328927089437,turquoise,turquoise,3.677632936937013e-38
bact_ASV_1,bact_ASV_49,0.25791199142349813,turquoise,turquoise,1.422452802953552e-49
bact_ASV_1,bact_ASV_53,0.0017594137506426772,turquoise,grey,4.163043235799944e-5
bact_ASV_1,bact_ASV_81,0.012879097529760863,turquoise,grey,7.226693877098589e-12
bact_ASV_1,bact_ASV_33,0.1680331185865835,turquoise,turquoise,1.1222828960601668e-37
bact_ASV_1,bact_ASV_73,0.0633618617827019,turquoise,turquoise,4.498076916575228e-24
bact_ASV_1,bact_ASV_84,0.04427211241587357,turquoise,turquoise,1.7895005954475223e-10
bact_ASV_1,bact_ASV_82,0.0019179459456510684,turquoise,grey,4.2842028214691965e-6
bact_ASV_1,bact_ASV_102,0.0017594137506426772,turquoise,grey,4.1627267027071976e-5
bact_ASV_1,bact_ASV_75,0.24493876964103617,turquoise,turquoise,1.863059207239247e-43
bact_ASV_1,bact_ASV_92,0.027875004119398073,turquoise,turquoise,6.923610730954433e-5
bact_ASV_1,bact_ASV_114,0.014683608738385446,turquoise,turquoise,9.563807152226434e-6
bact_ASV_1,bact_ASV_65,0.12441451037802155,turquoise,turquoise,7.304592545349603e-31
bact_ASV_1,bact_ASV_59,0.208926570379917,turquoise,turquoise,5.856033230163292e-48
bact_ASV_1,bact_ASV_131,0.027140170546164816,turquoise,turquoise,2.7981411989773794e-5
bact_ASV_1,bact_ASV_93,0.06396764440397382,turquoise,turquoise,1.010819352329741e-10
bact_ASV_1,bact_ASV_91,0.1378032704926538,turquoise,turquoise,2.9174600395608855e-38
bact_ASV_1,bact_ASV_124,0.043758224457941114,turquoise,turquoise,8.869507981339006e-15
bact_ASV_1,bact_ASV_88,0.0017594137506426772,turquoise,grey,4.162410217745386e-5
bact_ASV_1,bact_ASV_104,0.0020278377396868576,turquoise,turquoise,1.7018666465138434e-4
bact_ASV_1,bact_ASV_143,0.10078950327303722,turquoise,turquoise,8.263018468636964e-26
bact_ASV_1,bact_ASV_150,0.07668828265695544,turquoise,turquoise,1.510571809505987e-11
bact_ASV_1,bact_ASV_140,0.032797775667046065,turquoise,turquoise,4.984258273127258e-12
bact_ASV_1,bact_ASV_148,0.11192152311784379,turquoise,turquoise,1.9468596289111664e-26
bact_ASV_1,arc_ASV_2,0.004522532507920176,turquoise,grey,6.146527944597963e-6
bact_ASV_1,arc_ASV_6,0.013667212246821128,turquoise,turquoise,5.920939592252442e-9
bact_ASV_1,fun_ASV_1,0.059062314238940816,turquoise,grey,4.734854069332946e-12
bact_ASV_1,fun_ASV_4,0.007305264847289917,turquoise,grey,2.262548879893227e-6
bact_ASV_1,fun_ASV_22,0.028838482996278274,turquoise,blue,9.262523813470663e-8
bact_ASV_1,fun_ASV_24,0.028838482996278274,turquoise,blue,9.261543237161805e-8
bact_ASV_1,fun_ASV_15,0.0781258864271801,turquoise,grey,1.4771517996810141e-22
bact_ASV_1,fun_ASV_30,0.0019062093070094926,turquoise,turquoise,5.87177858310476e-5
bact_ASV_1,fun_ASV_27,0.030164308079922455,turquoise,turquoise,1.1194116119870842e-8
bact_ASV_1,fun_ASV_14,0.014569918799757041,turquoise,turquoise,3.815960924552108e-7
bact_ASV_1,fun_ASV_12,0.01122861181615376,turquoise,turquoise,7.213178630697095e-7
bact_ASV_1,fun_ASV_34,0.028838482996278274,turquoise,blue,9.260562868448228e-8
bact_ASV_1,fun_ASV_7,0.06887223544978249,turquoise,turquoise,5.217135682737711e-26
bact_ASV_1,fun_ASV_40,0.008836966803458638,turquoise,grey,6.92099147803577e-4
bact_ASV_1,fun_ASV_45,0.002109281856307673,turquoise,grey,7.499232037206656e-7
bact_ASV_1,fun_ASV_13,0.006136976694335344,turquoise,turquoise,1.174878503965562e-9
bact_ASV_1,fun_ASV_64,0.028838482996278274,turquoise,blue,9.259582707264015e-8
bact_ASV_1,fun_ASV_39,0.003066376391960993,turquoise,turquoise,7.948773598373246e-5
bact_ASV_1,fun_ASV_17,0.0164790080526506,turquoise,turquoise,3.9502961049185e-8
bact_ASV_1,fun_ASV_19,0.016700769992229823,turquoise,turquoise,1.3518896198402799e-8
bact_ASV_1,fun_ASV_31,0.028838482996278274,turquoise,blue,9.211807667498306e-8
bact_ASV_1,fun_ASV_82,0.028838482996278274,turquoise,blue,9.210837799350538e-8
bact_ASV_1,fun_ASV_37,0.033686884804365935,turquoise,turquoise,2.5034306380136425e-11
bact_ASV_1,fun_ASV_51,0.028838482996278274,turquoise,blue,9.258602753543276e-8
bact_ASV_1,fun_ASV_60,0.028838482996278274,turquoise,blue,9.25762300722015e-8
bact_ASV_1,fun_ASV_21,0.045701062019532245,turquoise,turquoise,1.6117410983317863e-12
bact_ASV_1,fun_ASV_41,0.08419633785665341,turquoise,turquoise,3.727749132389609e-18
bact_ASV_1,fun_ASV_112,0.028838482996278274,turquoise,blue,9.256643468228803e-8
bact_ASV_1,fun_ASV_55,0.028838482996278274,turquoise,blue,9.25566413650343e-8
bact_ASV_1,fun_ASV_66,0.028838482996278274,turquoise,blue,9.254685011978252e-8
bact_ASV_1,fun_ASV_33,0.011162269028573682,turquoise,turquoise,1.6304759662638196e-7
bact_ASV_1,fun_ASV_52,0.07038452744677988,turquoise,turquoise,8.301320196354221e-27
bact_ASV_1,fun_ASV_91,0.028838482996278274,turquoise,blue,9.25370609458752e-8
bact_ASV_1,fun_ASV_92,0.028838482996278274,turquoise,blue,9.252727384265511e-8
bact_ASV_1,fun_ASV_65,0.0152959943901255,turquoise,turquoise,9.686230813525123e-9
bact_ASV_1,fun_ASV_101,0.05200319606375438,turquoise,grey,2.0774038696684306e-16
bact_ASV_1,fun_ASV_109,0.028838482996278274,turquoise,blue,9.251748880946533e-8
bact_ASV_1,fun_ASV_135,0.028838482996278274,turquoise,blue,9.250770584564916e-8
bact_ASV_1,fun_ASV_83,0.028838482996278274,turquoise,blue,9.249792495055023e-8
bact_ASV_1,fun_ASV_54,0.04956597751021466,turquoise,grey,8.968336059797023e-13
bact_ASV_1,fun_ASV_81,0.028838482996278274,turquoise,blue,9.248814612351244e-8
bact_ASV_1,fun_ASV_70,0.028838482996278274,turquoise,blue,9.247836936387993e-8
bact_ASV_1,fun_ASV_113,0.001750756999140148,turquoise,grey,3.370160202499307e-5
bact_ASV_1,fun_ASV_115,0.028838482996278274,turquoise,blue,9.246859467099716e-8
bact_ASV_1,fun_ASV_108,0.07731775022041687,turquoise,grey,5.982640018415543e-14
bact_ASV_1,fun_ASV_138,0.028838482996278274,turquoise,blue,9.245882204420884e-8
bact_ASV_1,fun_ASV_116,0.01014775108545588,turquoise,grey,2.2567929214583848e-4
bact_ASV_1,fun_ASV_18,0.04385380936349382,turquoise,grey,5.382083482917335e-17
bact_ASV_1,fun_ASV_169,0.028838482996278274,turquoise,blue,9.244905148286e-8
bact_ASV_1,fun_ASV_176,0.028838482996278274,turquoise,blue,9.243928298629587e-8
bact_ASV_1,fun_ASV_104,0.006162502325347665,turquoise,turquoise,1.4886097554985481e-7
bact_ASV_1,fun_ASV_167,0.028838482996278274,turquoise,blue,9.242951655386204e-8
bact_ASV_1,fun_ASV_72,0.028838482996278274,turquoise,blue,9.24197521849043e-8
bact_ASV_1,fun_ASV_69,0.010573640511465664,turquoise,turquoise,3.707026336546217e-7
bact_ASV_1,fun_ASV_141,0.028838482996278274,turquoise,blue,9.240998987876879e-8
bact_ASV_1,fun_ASV_129,0.028838482996278274,turquoise,blue,9.209868135407034e-8
bact_ASV_1,fun_ASV_118,0.0017703051020738609,turquoise,grey,3.561332024086013e-5
bact_ASV_1,fun_ASV_130,0.028838482996278274,turquoise,blue,9.208898675603306e-8
bact_ASV_1,fun_ASV_128,0.028838482996278274,turquoise,blue,9.207929419874898e-8
bact_ASV_1,fun_ASV_133,0.0018988397950836092,turquoise,turquoise,3.0968036324273044e-4
bact_ASV_1,fun_ASV_165,0.028838482996278274,turquoise,blue,9.240022963480187e-8
bact_ASV_1,fun_ASV_152,0.028838482996278274,turquoise,blue,9.239047145235021e-8
bact_ASV_1,fun_ASV_156,0.028838482996278274,turquoise,blue,9.238071533076074e-8
bact_ASV_1,fun_ASV_122,0.07946557972122809,turquoise,grey,5.752855705935576e-23
bact_ASV_1,fun_ASV_139,0.004758716823216915,turquoise,turquoise,1.0228067975200026e-6
bact_ASV_1,fun_ASV_157,0.028838482996278274,turquoise,blue,9.206960368157379e-8
bact_ASV_1,fun_ASV_181,0.028838482996278274,turquoise,blue,9.205991520386343e-8
bact_ASV_1,fun_ASV_199,0.028838482996278274,turquoise,blue,9.205022876497413e-8
bact_ASV_5,bact_ASV_1,0.025963991056327344,turquoise,turquoise,2.8525809152209024e-4
bact_ASV_5,bact_ASV_3,0.008362058027343366,turquoise,turquoise,2.5406550778145137e-8
bact_ASV_5,bact_ASV_10,0.027445388492039622,turquoise,turquoise,2.0178527849974647e-6
bact_ASV_5,bact_ASV_19,0.004527997524224283,turquoise,turquoise,1.1441958778347848e-7
bact_ASV_5,bact_ASV_11,0.19838429399118152,turquoise,turquoise,2.0265896442336647e-31
bact_ASV_5,bact_ASV_17,0.035935058609541354,turquoise,turquoise,6.672354295362192e-10
bact_ASV_5,bact_ASV_9,0.1855602961615253,turquoise,turquoise,4.574890544657832e-29
bact_ASV_5,bact_ASV_4,0.013457526526227986,turquoise,grey,3.094035468709264e-12
bact_ASV_5,bact_ASV_13,0.011028572381049678,turquoise,turquoise,7.429660521193515e-4
bact_ASV_5,bact_ASV_24,0.06945167110968553,turquoise,turquoise,3.1395133333354327e-19
bact_ASV_5,bact_ASV_21,0.22430202906297447,turquoise,turquoise,9.763195013559757e-41
bact_ASV_5,bact_ASV_22,0.06554036969013868,turquoise,turquoise,8.57757994351327e-25
bact_ASV_5,bact_ASV_35,0.03524939576022239,turquoise,grey,1.1913698100706315e-20
bact_ASV_5,bact_ASV_41,0.005587921980320281,turquoise,grey,1.761297619929226e-8
bact_ASV_5,bact_ASV_60,0.01296791559744371,turquoise,turquoise,3.5339095448633877e-12
bact_ASV_5,bact_ASV_45,0.003381112250545928,turquoise,grey,4.110708917151192e-6
bact_ASV_5,bact_ASV_47,0.04497485471522392,turquoise,turquoise,2.2514818381184066e-10
bact_ASV_5,bact_ASV_16,6.108695535547577e-4,turquoise,grey,1.2282002146324448e-4
bact_ASV_5,bact_ASV_33,0.16470334644749526,turquoise,turquoise,1.5136834773774951e-25
bact_ASV_5,bact_ASV_40,0.0018590252444512338,turquoise,turquoise,2.2062111606675612e-5
bact_ASV_5,bact_ASV_73,0.10738200975525643,turquoise,turquoise,2.4723529226580117e-18
bact_ASV_5,bact_ASV_48,0.010130866377709455,turquoise,grey,4.555229600921167e-10
bact_ASV_5,bact_ASV_68,0.04888028073361299,turquoise,turquoise,6.282192462278816e-19
bact_ASV_5,bact_ASV_84,0.07745647976065623,turquoise,turquoise,3.609002284402981e-23
bact_ASV_5,bact_ASV_69,0.040508573061110366,turquoise,turquoise,4.845946651236172e-13
bact_ASV_5,bact_ASV_74,0.005151155692748749,turquoise,grey,5.717895410537458e-10
bact_ASV_5,bact_ASV_86,0.002144544419136984,turquoise,grey,1.3978872937910622e-6
bact_ASV_5,bact_ASV_87,0.04055802916961948,turquoise,grey,7.600730055940403e-20
bact_ASV_5,bact_ASV_75,0.024429090721470093,turquoise,turquoise,5.248358550065393e-4
bact_ASV_5,bact_ASV_92,0.09633803403915252,turquoise,turquoise,1.645207296630446e-27
bact_ASV_5,bact_ASV_114,0.021677753872311953,turquoise,turquoise,7.22177011605351e-10
bact_ASV_5,bact_ASV_65,0.0706906545533961,turquoise,turquoise,1.671229909418703e-12
bact_ASV_5,bact_ASV_59,0.05192522243717074,turquoise,turquoise,3.1749196684839673e-7
bact_ASV_5,bact_ASV_131,0.12905113518711958,turquoise,turquoise,1.3332783569149008e-33
bact_ASV_5,bact_ASV_70,0.0013269533266240495,turquoise,grey,2.808810661117511e-4
bact_ASV_5,bact_ASV_91,0.01662617590833837,turquoise,turquoise,9.058570479411828e-6
bact_ASV_5,bact_ASV_107,0.005802915911470932,turquoise,grey,4.389298653068527e-11
bact_ASV_5,bact_ASV_124,0.12850836501435958,turquoise,turquoise,3.31081832816251e-28
bact_ASV_5,bact_ASV_98,0.0035063789550824564,turquoise,turquoise,3.4162599172892245e-9
bact_ASV_5,bact_ASV_99,0.017552368846471638,turquoise,grey,1.202776510594926e-14
bact_ASV_5,bact_ASV_104,0.002101973888512276,turquoise,turquoise,1.499035302982043e-5
bact_ASV_5,bact_ASV_118,0.01709525851818702,turquoise,grey,8.4566105880104475e-16
bact_ASV_5,bact_ASV_150,0.04595586886929053,turquoise,turquoise,7.034862023665661e-16
bact_ASV_5,bact_ASV_125,0.010891921181133232,turquoise,grey,6.194159311114537e-11
bact_ASV_5,bact_ASV_177,0.002144544419136984,turquoise,grey,1.3977577638342616e-6
bact_ASV_5,bact_ASV_140,0.018745085606742904,turquoise,turquoise,7.293020521110141e-10
